reaction_id,reaction_name,subsystem,knockout_flux,baseline_flux,flux_ratio,growth_pct,impact,status,num_genes,gene_ids,gene_names,equation
r1907,Y+Lat2 Utilized Transport,"Transport, extracellular",0.029528056441854664,0.029528056441593797,1.0000000000088345,100.00000000088345,MINIMAL,optimal,1,9057.1,G_9057__46__1,ile_L[e] + na1[e] + pro_L[c] --> ile_L[c] + na1[c] + pro_L[e]
r1906,Y+Lat2 Utilized Transport,"Transport, extracellular",0.029528056441854664,0.029528056441593797,1.0000000000088345,100.00000000088345,MINIMAL,optimal,1,9057.1,G_9057__46__1,ile_L[e] + leu_L[c] + na1[e] --> ile_L[c] + leu_L[e] + na1[c]
r1905,Y+Lat2 Utilized Transport,"Transport, extracellular",0.029528056441854664,0.029528056441593797,1.0000000000088345,100.00000000088345,MINIMAL,optimal,1,9057.1,G_9057__46__1,cys_L[c] + ile_L[e] + na1[e] --> cys_L[e] + ile_L[c] + na1[c]
r1904,Y+Lat2 Utilized Transport,"Transport, extracellular",0.029528056441854664,0.029528056441593797,1.0000000000088345,100.00000000088345,MINIMAL,optimal,1,9057.1,G_9057__46__1,ile_L[e] + na1[e] + tyr_L[c] --> ile_L[c] + na1[c] + tyr_L[e]
r1925,Y+Lat2 Utilized Transport,"Transport, extracellular",0.029528056441854664,0.029528056441593797,1.0000000000088345,100.00000000088345,MINIMAL,optimal,1,9057.1,G_9057__46__1,gln_L[e] + his_L[c] + na1[e] --> gln_L[c] + his_L[e] + na1[c]
r1926,Y+Lat2 Utilized Transport,"Transport, extracellular",0.029528056441854664,0.029528056441593797,1.0000000000088345,100.00000000088345,MINIMAL,optimal,1,9057.1,G_9057__46__1,citr_L[c] + gln_L[e] + na1[e] --> citr_L[e] + gln_L[c] + na1[c]
r1928,Y+Lat2 Utilized Transport,"Transport, extracellular",0.029528056441854664,0.029528056441593797,1.0000000000088345,100.00000000088345,MINIMAL,optimal,1,9057.1,G_9057__46__1,arg_L[c] + na1[e] + ser_L[e] --> arg_L[e] + na1[c] + ser_L[c]
r1929,Y+Lat2 Utilized Transport,"Transport, extracellular",0.029528056441854664,0.029528056441593797,1.0000000000088345,100.00000000088345,MINIMAL,optimal,1,9057.1,G_9057__46__1,na1[e] + orn[c] + ser_L[e] --> na1[c] + orn[e] + ser_L[c]
r2117,Major Facilitator (Mfs) Tcdb:2.A.1.13.1,"Transport, extracellular",0.029528056441854664,0.029528056441593797,1.0000000000088345,100.00000000088345,MINIMAL,optimal,1,6566.1,G_6566__46__1,for[e] + lac_L[c] <=> for[c] + lac_L[e]
r2116,Major Facilitator (Mfs) Tcdb:2.A.1.13.1,"Transport, extracellular",0.029528056441854664,0.029528056441593797,1.0000000000088345,100.00000000088345,MINIMAL,optimal,1,6566.1,G_6566__46__1,for[e] + ppa[c] <=> for[c] + ppa[e]
