gene_id,gene_name,knockout_flux,baseline_flux,flux_ratio,growth_pct,impact,status,num_reactions,reactions
6536_AT2,SLC6A9,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,GLYt7_211_r
10935_AT1,PRDX3,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,GTHPm
6581_AT1,SLC22A3,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,3,HISTAtu;DOPAtu;NRPPHRtu
2539_AT1,G6PD,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,G6PDH2r
2876_AT1,GPX1,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,GTHPi
2936_AT1,GSR,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,2,GTHOr;GTHOm
9563_AT1,H6PD,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,3,G6PDH1er_copy2;G6PDH2er;G6PDH1er_copy1
132789_AT1,GNPDA2,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,G6PDA
57678_AT1,GPAM,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,GPAM_hs
27232_AT1,GNMT,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,GNMT
10007_AT1,GNPDA1,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,G6PDA
5226_AT1,PGD,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,GND
2820_AT1,GPD2,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,G3PD2m
51292_AT2,GMPR2,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,GMPR
2819_AT1,GPD1,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,G3PD1ir
51292_AT3,GMPR2,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,GMPR
60386_AT1,SLC25A19,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,63,DNDPt59m;DNDPt16m;DNDPt42m;DNDPt43m;DNDPt24m;DNDPt40m;DNDPt62m;DNDPt41m;DNDPt48m;DNDPt3m
