reaction_id,reaction_name,subsystem,knockout_flux,baseline_flux,flux_ratio,flux_reduction,impact,status,num_genes,gene_ids,gene_names,equation
RXN_45_12088,RXN-12088,Unknown,1.2662803343949043,1.2662803343949043,1.0,0.0,MINIMAL,optimal,1,HS02389,GLA,Alpha_45_D_45_Galactosides_c + WATER_c <=> ALPHA_45_D_45_GALACTOSE_c + Non_45_Galactosylated_45_Galactose_45_Acceptors_c
3_46_1_46_4_46_45_45_RXN,3.1.4.45-RXN,Unknown,1.2662803343949043,1.2662803343949043,1.0,0.0,MINIMAL,optimal,1,HS02465,NAGPA,LYSOSOMAL_45_ENZYME_45_N_45_ETCETERA_45_MANNOSE_c + WATER_c <=> GLYCOPROTEIN_45_PHOSPHO_45_D_45_MANNOSE_c + N_45_ACETYL_45_D_45_GLUCOSAMINE_c + h_c
2_46_7_46_8_46_17_45_RXN,2.7.8.17-RXN,Unknown,1.2662803343949043,1.2662803343949043,1.0,0.0,MINIMAL,optimal,1,HS03442,GNPTAB,LYSOSOMAL_45_ENZYME_45_D_45_MANNOSE_c + uacgam_c <=> LYSOSOMAL_45_ENZYME_45_N_45_ETCETERA_45_MANNOSE_c + h_c + ump_c
3_46_2_46_1_46_24_45_RXN,3.2.1.24-RXN,Unknown,1.2662803343949043,1.2662803343949043,1.0,0.0,MINIMAL,optimal,4,HS02616;HS13830;HS16819;HS00341,MAN2B1;MAN2C1;G_HS16819;MAN2B2,Alpha_45_D_45_Mannosides_c + WATER_c <=> CPD_45_13559_c + Non_45_Glycosylated_45_sugar_45_Acceptors_c
RXN_45_9023,RXN-9023,Unknown,1.2662803343949043,1.2662803343949043,1.0,0.0,MINIMAL,optimal,1,HS08717,AGL,CPD0_45_971_c <=> Truncated_45_Limit_45_Dextrins_c
RXN_45_19947,RXN-19947,Unknown,1.2662803343949043,1.2662803343949043,1.0,0.0,MINIMAL,optimal,1,HS08717,AGL,CPD0_45_971_c <=> CPD0_45_1027_c
RXN0_45_5146,RXN0-5146,Unknown,1.2662803343949043,1.2662803343949043,1.0,0.0,MINIMAL,optimal,1,HS08717,AGL,CPD0_45_971_c + WATER_c <=> CPD0_45_1027_c + MALTOTETRAOSE_c
RXN_45_6642,RXN-6642,Unknown,1.2662803343949043,1.2662803343949043,1.0,0.0,MINIMAL,optimal,1,HS09457,ANPEP,CPD_45_6262_c + WATER_c <=> GLY_c + S_45_Substituted_45_L_45_Cysteines_c
RXN_45_20533,RXN-20533,Unknown,1.2662803343949043,1.2662803343949043,1.0,0.0,MINIMAL,optimal,1,HS03439,CHPT1,1_45_Acyl_45_2_45_Arachidonoyl_45_Glycerols_c + cdpchol_c <=> 2_45_arachidonoyl_45_PC_c + cmp_c + h_c
RXN_45_20522,RXN-20522,Unknown,1.2662803343949043,1.2662803343949043,1.0,0.0,MINIMAL,optimal,3,HS01328;HS05911;HS09093,LIPE;DAGLA;DAGLB,1_45_Acyl_45_2_45_Arachidonoyl_45_Glycerols_c + WATER_c <=> CPD_45_12600_c + Fatty_45_Acids_c + h_c
11_45_BETA_45_HYDROXYSTEROID_45_DEHYDROGENASE_45_RXN,11-BETA-HYDROXYSTEROID-DEHYDROGENASE-RXN,Unknown,1.2662803343949043,1.2662803343949043,1.0,0.0,MINIMAL,optimal,3,HS11043;HS04154;HS15594,HSD11B2;HSD11B1;HSD11B1L,11_45_Beta_45_Hydroxysteroids1_c + nadp_c <=> 11_45_Oxosteroids_c + NADPH_c + h_c
RXN_45_12563,RXN-12563,Unknown,1.2662803343949043,1.2662803343949043,1.0,0.0,MINIMAL,optimal,1,HS04474,LRAT,CRPB_45_11_45_Cis_45_Retinol_c + PHOSPHATIDYLCHOLINE_c <=> 11_45_Cis_45_Retinyl_45_Esters_c + 2_45_Acylglycero_45_Phosphocholines_c + Cellular_45_Retinol_45_Binding_45_Proteins_c
RXN_45_13683,RXN-13683,Unknown,1.2662803343949043,1.2662803343949043,1.0,0.0,MINIMAL,optimal,1,HS13441,ACY3,N_45_Acylated_45_Aromatic_45_Amino_45_Acids_c + WATER_c <=> Aromatic_45_L_45_Amino_45_Acids_c + Carboxylates_c
